Sexo,Altura_cm,Peso_kg
Hombre,187.5714232,109.7210746
Hombre,174.7060363,73.62279191
Hombre,188.2396677,96.49762887
Hombre,182.1966852,99.80958561
Hombre,177.4997615,93.59869511
Hombre,170.8226599,69.04227247
Hombre,174.7141064,83.4282869
Hombre,173.6052294,76.1904141
Hombre,170.2281321,79.80025182
Hombre,161.1794947,70.94169988
Hombre,180.836271,84.64257044
Hombre,181.967645,96.95136364
Hombre,164.506476,75.80774116
Hombre,175.9789981,85.9313424
Hombre,175.8790799,84.56511612
Hombre,171.819874,78.10267769
Hombre,183.9425242,88.91703477
Hombre,162.4947873,78.41862299
Hombre,176.8857522,84.3609041
Hombre,172.5574523,82.74733562
Hombre,172.5042275,78.97765693
Hombre,176.3761773,89.68946415
Hombre,168.0187952,67.66399135
Hombre,191.023173,103.7645982
Hombre,172.4487187,73.48498117
Hombre,173.0858433,87.24576019
Hombre,175.4876638,83.65838787
Hombre,184.9141425,93.81568862
Hombre,171.2499554,79.47569832
Hombre,173.980895,70.00864338
Hombre,174.2900008,85.05167338
Hombre,188.0458714,96.5744537
Hombre,181.6816687,88.46513743
Hombre,175.7176092,93.06972509
Hombre,176.726094,92.60728955
Hombre,178.8183594,87.49956258
Hombre,175.4534748,89.57916001
Hombre,170.6715491,83.37525498
Hombre,167.1505818,74.32193758
Hombre,163.3326373,73.98455206
Hombre,172.654814,78.07939359
Hombre,183.3611419,88.0175151
Hombre,165.7866776,76.48372312
Hombre,167.8690505,73.11611112
Hombre,171.4762167,74.68864541
Hombre,178.0661571,85.69371523
Hombre,173.3596646,84.84923919
Hombre,183.3186812,94.83294842
Hombre,175.7168384,87.09623747
Hombre,185.0907148,95.86334401
Hombre,164.5477608,75.12017002
Hombre,178.2662167,91.20468787
Hombre,173.9682836,78.66378519
Hombre,171.0203104,82.28513918
Hombre,170.156998,76.99172898
Hombre,168.9088568,74.07595599
Hombre,173.6167639,86.05110374
Hombre,179.767126,87.14636484
Hombre,180.8884461,89.90131106
Hombre,177.833948,95.03962164
Hombre,181.3640828,90.15592541
Hombre,176.6620929,89.84736058
Hombre,187.4990778,88.58233162
Hombre,170.1720822,74.81702372
Hombre,181.4029034,81.58489374
Hombre,165.8094225,70.42040627
Hombre,173.4164464,83.69658799
Hombre,184.8240397,100.0978758
Hombre,172.9724247,83.14922177
Hombre,174.9976334,89.10881633
Hombre,175.9953553,83.73115946
Hombre,179.1289903,94.13531208
Hombre,176.9458621,80.37698924
Hombre,171.6919828,73.98454529
Hombre,184.1706258,98.07493943
Hombre,180.9825834,92.83017048
Hombre,182.3953347,91.13603808
Hombre,183.5027203,100.1993573
Hombre,168.9420743,89.10815774
Hombre,167.7137464,76.4941847
Hombre,171.645971,82.29649429
Hombre,173.3462843,90.11005846
