Especie,arbol,edad,h,d,Largo_Copa,Razon_Copa
DF,FD05,56,27.04,54.61,21.09,0.78
DF,FD09,83,27.42,34.8,13.14,0.479
DF,FD13,74,21.23,24.89,2.5,0.118
DF,FD17,81,24.96,28.7,12.68,0.508
DF,FD18,81,29.99,34.8,11.7,0.39
DF,FD19,87,28.07,37.85,8.2,0.292
DF,FD20,82,23.43,22.61,9.72,0.415
DF,FD22,83,32.45,39.37,17.25,0.532
DF,FD26,91,30.1,39.88,11.73,0.39
DF,FD28,75,25.85,26.16,13.01,0.504
DF,FD29,83,31.83,43.69,14.27,0.448
DF,FD30,108,31.35,69.85,19.32,0.616
DF,FD32,85,32.61,44.45,16.03,0.492
DF,FD36,123,39.81,87.88,32.49,0.816
DF,FD38,87,31.7,56.64,20.3,0.64
DF,FD39,91,30.18,54.61,17.53,0.581
DF,FD40,16,4.95,5.33,4.63,0.935
DF,FD41,14,5.26,6.1,5.03,0.957
DF,FD42,14,5.58,7.37,5.24,0.94
DF,FD43,15,6.47,8.33,6.13,0.948
DF,FD44,19,8.91,13.51,8.53,0.958
DF,FD45,85,33.3,51.31,17.92,0.538
DF,FD46,96,19.39,22.35,9.85,0.508
PP,FP01,95,39.37,69.6,18.47,0.469
PP,FP02,107,35.81,58.42,25.12,0.701
PP,FP04,50,20.8,33.27,17.08,0.821
PP,FP09,85,29.11,44.2,14.97,0.514
PP,FP11,73,22.4,30.48,11.25,0.502
PP,FP15,85,27.69,27.43,9.6,0.347
PP,FP16,90,35.58,43.18,15.11,0.425
PP,FP17,83,33.12,38.86,11.61,0.351
PP,FP21,93,41.16,52.58,20.19,0.491
PP,FP22,76,23.34,20.83,4.83,0.207
PP,FP23,66,25.94,24.13,11.43,0.441
PP,FP24,90,25.11,24.89,9.18,0.366
PP,FP25,94,30.39,45.97,10.45,0.344
PP,FP27,87,28.4,35.05,11.64,0.41
PP,FP29,80,23.38,23.88,5.82,0.249
PP,FP30,97,31.73,60.2,20.51,0.646
PP,FP32,29,7.36,12.45,4.72,0.642
PP,FP34,19,3.57,4.83,3,0.84
PP,FP35,84,31.93,70.61,25.05,0.785
PP,FP37,18,6.92,11.43,5.09,0.736
PP,FP38,16,5.85,11.94,3.99,0.682
PP,FP39,85,35.14,60.2,25.91,0.737
WP,FW06,76,39.84,60.71,24.87,0.624
WP,FW07,76,40.66,70.61,32.61,0.802
WP,FW11,75,38.89,57.66,26.21,0.674
WP,FW12,73,36.24,43.13,23.01,0.635
WP,FW15,65,23.13,18.29,14.02,0.606
WP,FW16,90,37.59,43.43,20.97,0.558
WP,FW18,71,21.29,18.54,10.03,0.471
WP,FW19,57,13.44,12.95,5.4,0.402
WP,FW21,101,36.59,37.85,15.48,0.423
WP,FW22,84,29.05,26.92,15.64,0.538
WP,FW24,100,35.52,38.61,24.32,0.685
WP,FW26,57,5.42,6.48,3.05,0.562
WP,FW27,84,34.56,31.75,13.96,0.404
WP,FW28,99,44.64,73.66,20.5,0.459
WP,FW30,35,22.59,28.19,21.49,0.951
WP,FW38,87,44.99,61.47,22.16,0.493
WP,FW39,82,40.23,51.56,20.73,0.515
WP,FW42,24,12.98,18.29,12.34,0.951
WP,FW44,51,4.95,8.38,3.64,0.735
WP,FW45,12,3.74,4.7,3.43,0.918
WP,FW47,21,18.6,11.94,8.12,0.437
